#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
14989.soil.hip.CMU.17.01.2017.01.day14,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.hip.CMU.17.01.2017.01.day14
2105.CP681.r,TRUE,2105,urban biome,park,soil,-73.95537,40.79505,CP681 soil sample from Central Park
1642.MS00429,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere W106 MS00429
11116.I10A092.1195452,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample I31A101
10278.T9.F7.20,FALSE,10278,flooded grassland biome,fen,peat,-4.294913,53.310738,peat.timepoint9.fen.20cm.control
805.pH.5.5.year.2007,FALSE,805,cropland biome,agricultural soil,soil,-2.85,57.183,pH 5.5 year 2007
11116.L09A069.1195091,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I13A081
10246.PP.B13,FALSE,10246,tundra biome,tundra,soil,-119.3338056,76.22780556,tundra sample PP-B13
10141.F.skin.body.T1.3,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
1642.MS00039,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil kasalath MS00039
1024.SH008.C6.HA.1.101.bulk.6.11.G1.L00,TRUE,1024,cropland biome,vineyard,soil,-72.52852,41.01447,Bulk_soil
11167.20120817.49,FALSE,11167,urban biome,park,soil,103.81,36.07,Surface soil in Baita hill park in Lanzhou city
755.SSFA.L1.D50.31.05.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.906,samples of sand from slow_sand filter water purification system
11519.17A070709.S4.4F,FALSE,11519,temperate grassland,grassland,soil,105.24237,40.04713,entrance
2105.CP93,TRUE,2105,urban biome,park,soil,-73.97586,40.77219,CP93 soil sample from Central Park
10178.Fsoil.T.5.4,TRUE,10178,urban biome,research facility,soil,-117.26,32.84,ExtractionTest Plate1 Fsoil.T.5.4.KF1 C8
14989.soil.face.SHSU.2017.045.2017.12.28.day17,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2017.045.2017.12.28.day17
11116.A03A079.1196351,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I28A072
1033.776.SC.C.T1A,TRUE,1033,polar biome,oil contaminated soil,oil contaminated soil,-58.24,-62.05,Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)
10180.B5III,FALSE,10180,cropland biome,agricultural soil,soil,-48.4536,-22.725,B5III Soil sample
1035.UQ585,TRUE,1035,polar desert biome,cold temperature habitat,rocky sand,163.878,-78.109,antarctic sand
11116.I31A096.1195233,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L13A073
2104.CP104,FALSE,2104,urban biome,park,soil,-73.96908,40.77005,soil
10141.F.soil.T1.5.ReDay30,TRUE,10141,Temperate coniferous forest biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
11116.A02C094.1197993,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I15A094
14989.soil.face.SHSU.2016.076.2016.12.07.day16,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2016.076.2016.12.07.day16
14989.soil.ctrl.SHSU.2016.011.2016.05.04.day20,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.ctrl.SHSU.2016.011.2016.05.04.day20
10143.004.5.1.2013.Soil.Groin.SiteE,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,004.5.1.2013.Soil.Groin.SiteE
11176.1x.072115.95.1,TRUE,11176,cropland biome,plant-associated habitat,rhizome,-96.48,41.22,rhizome 1x.072115.95.1
2104.CP682,FALSE,2104,urban biome,park,soil,-73.9557,40.79503,soil
11116.L18A097.1197476,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A14C085
1711.KAM3.2,TRUE,1711,rangeland biome,farm soil,soil,35.52,0.15,"Kenya Agriculture Soil Sample, Farm 3 Plot 2"
2105.CP566,TRUE,2105,urban biome,park,soil,-73.96332,40.79094,CP566 soil sample from Central Park
11116.L26A099.1193853,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L25A078
14989.soil.hip.SHSU.2016.011.2016.04.22.day8,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.hip.SHSU.2016.011.2016.04.22.day8
10246.K.B3,FALSE,10246,tundra biome,tundra,soil,66.98005,71.17878333,tundra sample K-B3
864.4.C.noG.noV.2010a.lane2.NoIndex,TRUE,864,montane grassland biome,steppe soil,soil,100.772,51.024,"block four-control, n grazing, n vegtation 4.C.noG.noV.2010a"
14871.NGS19.120,FALSE,14871,alpine tundra biome,proglacial,soil,12.6341956,47.12779352,Soil metagenome
11116.L26A089.1196178,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample U447A63
213.KE34,FALSE,213,temperate coniferous forest biome,forest soil,soil,-93.2,45.2,soil metagenome
13114.schmidt.56.s018,TRUE,13114,desert biome,montane desert,soil,-71.071389,-13.773333,soil samples from high elevation sites post Puca Glacier retreat in Peru
14937.S00IE0269,FALSE,14937,urban biome,farmland soil,soil,-90.68742,38.8494,soil sample A3 121/122 90
1642.MS00576,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00576
11116.I09A066.1198440,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample I29A104
10143.016.4.25.2013.Soil.LArmpit.SiteF,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,016.4.25.2013.Soil.LArmpit.SiteF
11116.L18A091.1194788,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I08A069
992.SU.20,FALSE,992,grasslandl biome,soil,soil,31.43333,-23.11667,"south african soils, soil metagenome"
1024.SH004.C1.RH.1.202.rhizo.9.11.G1.L00,TRUE,1024,cropland biome,vineyard,rhizosphere,-72.5284,41.015,Rhizosphere
11116.I25A066.1198051,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L29A084
1792.CBS5,TRUE,1792,cropland biome,plant-associated habitat,soil,-92.33407,38.95171,CBS5 from site Bulk Soil
11116.A09B067.1196686,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I28A093
14989.soil.hip.UTK.K016.11.2017.05.31.day7,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.11.2017.05.31.day7
1578.O3.low0.26to0.30,TRUE,1578,tundra biome,tundra,soil,-156.539,71.253,polygon center O3.low0.26to0.30
2105.CP665.r,TRUE,2105,urban biome,park,soil,-73.95472,40.79543,CP665 soil sample from Central Park
10156.1,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,-76.7175333,42.9116528,wetland soil sample  10
11116.I08A081.1197521,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A24C076
1642.MS00080,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil Nipponbare MS00080
11116.I18A076.1196209,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A07C064
14989.soil.hip.SHSU.2017.043.2017.12.20.day21,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.hip.SHSU.2017.043.2017.12.20.day21
14989.soil.face.UTK.K016.03.2016.05.09.day4,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.face.UTK.K016.03.2016.05.09.day4
11116.I27A096.1193734,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A17A079
11116.A22B064.1197822,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A21D067
14989.soil.face.CMU.17.10.2017.08.16.day8,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.face.CMU.17.10.2017.08.16.day8
10141.G.cecumT3.4,TRUE,10141,urban biome,animal-associated habitat,cecum,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
1024.SH005.C3.RH.5.58.rhizo.6.11.G1.L00,TRUE,1024,cropland biome,vineyard,rhizosphere,-72.52803,41.01525,Rhizosphere
10141.G.soil.T3.2,TRUE,10141,temperate grassland biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
11176.3x.3.Metcalf.Soil.F7,TRUE,11176,cropland biome,research  facility,soil,-117.25,32.5,soil 3x.3.Metcalf.Soil.F7
11116.I02A078.1196785,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample I02A099
2104.CP235,FALSE,2104,urban biome,park,soil,-73.96388,40.77728,soil
2105.CP416.r,TRUE,2105,urban biome,park,soil,-73.96731,40.78204,CP416 soil sample from Central Park
14989.soil.hip.CMU.16.04.2016.mo.day4,FALSE,14989,dense settlement biome,research facility,soil,-108.55,39.08,11271.soil.hip.CMU.16.04.2016.mo.day4
10142.009.4.8.2013.Soil.LHip.SiteC,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,009.4.8.2013.Soil.LHip.SiteC
1883.2010.015.Crump.Artic.LTREB.main.lane3.NoIndex,TRUE,1883,tundra biome,tundra,soil,-149.59605,68.6256,bank soil
1517.KBS401,FALSE,1517,ENVO:terrestrial biome,ENV:soil,soil,-85.4,42.4,Ramirez_KBS_LTER_plot_401_no_nitrogen
11116.I32A067.1197224,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A10A100
1024.DPOO1.C1.HA.3.32.leav.6.11.Gilbert.Merlot.miseq.S0.L001.001,TRUE,1024,cropland biome,vineyard,leaves,-72.46171,41.02543,Leaves
10141.F.skin.head.T1.2,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
13114.stegen.38.s003,TRUE,13114,subpolar coniferous forest biome,stratum,soil,-147.4857871,65.16131206,"Boreal forest soil sample from 1.75cm depth, in active layer above permafrost"
990.KA3U.D.24,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840726,Block_3_Unfertilized_station_D_position_24 KA3U.D.24
10142.SoilControl.3.26.2013.Soil.ctrl.ctrlB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,SoilControl.3.26.2013.Soil.ctrl.ctrlB
11432.Plate2.G11.ROOT.WT.,TRUE,11432,terrestrial,rhizosphere,royal jelly,-117.149,32.5228,Swab_Root
2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences,TRUE,2382,cropland biome,vineyard,rhizosphere,-72.45008,41.0624,Rhizosphere
10141.G.skin.body.T7.5,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
1889.soil1.T2S1,TRUE,1889,urban biome,soil,soil,-105.27,40.01,sterile_soil.soil.2
10082.v13.st3.r4,TRUE,10082,cropland biome,vineyard,Soil,-122.32317,38.22948,"soil sample from vineyard alley, at vineyard 13 site 3"
990.KA2U.A.16,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841111,Block_2_Unfertilized_station_A_position_16 KA2U.A.16
2104.CP328,FALSE,2104,urban biome,park,soil,-73.96518,40.77524,soil
