#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
11116.C12A66.1193864,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample I29A101
13114.seedorf.71.s007,TRUE,13114,cropland biome,planted forest,soil,103.7112946,1.43492266,soil from directly below planted Jatropha curcas in research plantation
11116.A31A088.1195351,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I24A104
2105.CP412,TRUE,2105,urban biome,park,soil,-73.96873,40.78355,CP412 soil sample from Central Park
13114.rohwer.84.s007,TRUE,13114,tundra biome,glacier,soil,54.65,80.76666667,Glacial transect
1642.MS00368,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere W106 MS00368
11116.A08A061.1193854,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A11A118
14989.soil.hip.CMU.17.10.2017.08.29.day21,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.hip.CMU.17.10.2017.08.29.day21
816.CFS8,FALSE,816,ENVO:tropical moist broadleaf forest biome,ENVO:tropical soil,soil,-83.61667,8.71667,Control soil
11116.A30A073.1197070,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample U463A63
1721.BMC.7.1T.26.3,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample BMC.7.1T.26.3
11116.L16A095.1197255,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A14A082
2105.CP686,TRUE,2105,urban biome,park,soil,-73.95773,40.79386,CP686 soil sample from Central Park
10082.v05.st1.r4,TRUE,10082,cropland biome,vineyard,Soil,-122.441,38.47763,"soil sample from vineyard alley, at vineyard 05 site 1"
2104.CP622,FALSE,2104,urban biome,park,soil,-73.95302,40.79771,soil
755.LSSF.GAMMA.D20.30.06.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with sterile sand: water purification system
11116.A10.2.9a.1197068,FALSE,11116,cropland biome,field,bulk soil,-76.702,42.754,sample A20C085
2104.CP55,FALSE,2104,urban biome,park,soil,-73.97605,40.76968,soil
10143.004.5.13.2013.Soil.RArmpit.SiteG,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,004.5.13.2013.Soil.RArmpit.SiteG
2105.CP480.r,TRUE,2105,urban biome,park,soil,-73.95729,40.78945,CP480 soil sample from Central Park
2104.CP420.r,FALSE,2104,urban biome,park,soil,-73.96699,40.78301,soil
11116.I04A082.1195684,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L17A084
1289.KH18,TRUE,1289,cropland biome,field,soil,-97.39,31.078,soil metagenomeC1R5-E-NI-1-B-OCT0-10cm_soil
10311.8ANOVEMBER,FALSE,10311,temperate biome,saline marsh,soil,6.143,53.2856,soil sample replicate 8ANOVEMBER
12201.soil.rhizosphere.slurry.K.1.microbiome2.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,rhizosphere soil
11116.A06D100.1197134,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I22A081
14989.soil.face.UTK.K016.03.2016.05.22.day17,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.face.UTK.K016.03.2016.05.22.day17
990.KA3F.B.07,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840725,Block_3_Fertilized_station_B_position_7 KA3F.B.07
992.SU.1,FALSE,992,grasslandl biome,soil,soil,31.43333,-23.11667,"south african soils, soil metagenome"
1642.MS00323,TRUE,1642,cropland biome,rice field,fresh water,138.937,35.117,water unknown MS00323
14989.soil.hip.SHSU.2016.065.2016.09.08.day15,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.hip.SHSU.2016.065.2016.09.08.day15
2104.CP82.r,FALSE,2104,urban biome,park,soil,-73.97403,40.77036,soil
353.PS.D3.80.Soil.Rep2,FALSE,353,montane shrubland biome,soil,soil,-105.27,40.01,PS day 3 -80C Soil Rep2
14989.soil.ctrl.SHSU.2016.067.2016.09.22.day7,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.ctrl.SHSU.2016.067.2016.09.22.day7
2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences,TRUE,2382,cropland biome,vineyard,rhizosphere,-72.5285,41.01446,Rhizosphere
11116.I26A100.1195642,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample C04A62
1579.M.3.0,TRUE,1579,tropical shrubland biome,volcano,soil,-155.764,20.123,soil elevation  1152m
10141.D.cecumT3.5,TRUE,10141,urban biome,animal-associated habitat,cecum,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences,TRUE,2382,cropland biome,vineyard,roots,-72.52871,41.01434,Roots
1674.McG.F110715Ly6H4,TRUE,1674,urban biome,garden soil,soil,-74.074,40.638,NYC green roofs soil in Staten Island
864.8.CON.addV.addG.noW.B.lane2.NoIndex,TRUE,864,montane grassland biome,steppe soil,soil,100.772,51.024,"block eight-control,vegetation, grazing, n watering 8.CON.addV.addG.noW.B"
2104.CP27,FALSE,2104,urban biome,park,soil,-73.9771,40.76746,soil
1792.L08A096,TRUE,1792,cropland biome,plant-associated habitat,soil,-76.47994,42.48424,L08A096 from site Il14H
1579.I.2.30,TRUE,1579,tropical shrubland biome,volcano,soil,-155.776,20.109,soil elevation 1090m
11116.L01A100.1197899,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A16C082
11167.PR120112.35,TRUE,11167,dense settlement biome,upland,soil,113.23,23.74,Upland surface soil
2104.CP419,FALSE,2104,urban biome,park,soil,-73.96777,40.78135,soil
11432.Fungal.Plate.C01.Specimen.3.,TRUE,11432,terrestrial,rhizosphere,fungal isolate,-117.149,32.5228,PBS_Culture
755.LSSF.ZETA.D10.22.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with dirty sand: water purification system
10142.009.3.22.2013.Soil.LKnee.SiteD,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,009.3.22.2013.Soil.LKnee.SiteD
1609.winter.control.0.2,FALSE,1609,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,winter.control.0.2
14627.BMS1.2,TRUE,14627,Mangrove biome,organic matter fall,Soil,-67.17510499,18.02797434,soil
1642.MS00115,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil W1514 MS00115
14989.soil.hip.UTK.K016.04.2016.09.28.day3,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.04.2016.09.28.day3
1715.McG.NL3,TRUE,1715,cropland biome,coffee plantation,soil,-86.236204,13.26267,Nicaragua Soil NL3
2105.CP252,TRUE,2105,urban biome,park,soil,-73.96797,40.77626,CP252 soil sample from Central Park
11116.A27C103.1194771,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A27C103
11116.A07C100.1196529,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample C15A63
1521.EB017.M.s.6.1.sequences,FALSE,1521,tundra biome,tundra,soil,163.88,-78.02,soil sample EB017.M
11519.19A.030709.S1a.3C,FALSE,11519,temperate grassland,grassland,soil,105.27556,40.10502,entrance
1609.summer.control.30.2,FALSE,1609,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,summer.control.30.2
11116.I04A095.1196354,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L17A097
10246.K.I5,FALSE,10246,tundra biome,tundra,soil,66.98046667,71.17888333,tundra sample K-I5
1043.Tabonuco.20C.Wood.TP1.01,FALSE,1043,tropical moist broadleaf forest biome,tropical soil,Soil,-66.93,18.13,Tropical forest soil
2104.CP331,FALSE,2104,urban biome,park,soil,-73.96684,40.77374,soil
2105.CP337.r,TRUE,2105,urban biome,park,soil,-73.96896,40.77279,CP337 soil sample from Central Park
2104.CP204,FALSE,2104,urban biome,park,soil,-73.97025,40.78133,soil
11116.A26A070.1196938,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A30A073
990.KA3F.A.18,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840732,Block_3_Fertilized_station_A_position_18 KA3F.A.18
1579.H.2.0,TRUE,1579,tropical shrubland biome,volcano,soil,-155.783,20.108,soil elevation 992m
2105.CP477.r,TRUE,2105,urban biome,park,soil,-73.96127,40.79042,CP477 soil sample from Central Park
10143.016.7.8.2013.Soil.ctrl.ctrlA,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,016.7.8.2013.Soil.ctrl.ctrlA
11116.L02A080.1193963,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I17A074
1642.MS00396,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00396
10346.BCD12SED,FALSE,10346,marine benthic biome,sea floor,marine sediment,-80.0971,26.1494,Soil sample from sampling site
2104.CP23,FALSE,2104,urban biome,park,soil,-73.97565,40.76732,soil
928.NTP39,FALSE,928,grassland biome,grassland soil,soil,-96.4933,48.9783,soil sample NTP39
11176.1x.072115.125.1,TRUE,11176,cropland biome,plant-associated habitat,rhizome,-96.48,41.22,rhizome 1x.072115.125.1
11116.I04A091.1194815,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L17A094
11116.I15A071.1195817,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample I20A073
1740.BCH21SED.EMP.Thomas.sponges.16S.L007,TRUE,1740,marine biome,reef,soil,-80.0971,26.1494,Soil sample from sampling site
1521.EB021.s.6.1.sequences,FALSE,1521,tundra biome,tundra,soil,162.89,-77.52,soil sample EB021
990.KA3U.E.10,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840717,Block_3_Unfertilized_station_E_position_10 KA3U.E.10
1716.McG.PAPrS21,TRUE,1716,tropical moist broadleaf forest biome,forest soil,Soil,-79.75313523,9.15296177,PAPrS21
11116.L23A069.1196550,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A10D094
864.2.OTC.addG.noV.2010a.lane2.NoIndex,TRUE,864,montane grassland biome,steppe soil,soil,100.772,51.024,"block two-warming, grazing, n vegtation 2.OTC.addG.noV.2010a"
1792.CBS1,TRUE,1792,cropland biome,plant-associated habitat,soil,-92.33407,38.95171,CBS1 from site Bulk Soil
10141.BLANKplate6.30,TRUE,10141,urban biome,research facility,control blank,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
1521.CT3.s.6.1.sequences,FALSE,1521,tundra biome,tundra,soil,-69.57,62.65,soil sample CT3
10346.BCD32SED,FALSE,10346,marine benthic biome,sea floor,marine sediment,-80.0971,26.1494,Soil sample from sampling site
10141.G.skin.head.T3.5,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
1642.MS00029,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil 93-11 MS00029
11116.L07A077.1194039,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I12A065
10180.A11III,FALSE,10180,cropland biome,agricultural soil,soil,-50.4189,-22.6186,A11III Soil sample
1024.SH005.C3.RH.4.269.leav.9.11.Gilbert.Merlot.miseq.S0.L001.001,TRUE,1024,cropland biome,vineyard,leaves,-72.52813,41.01534,Leaves
1717.3.improved.leguminous,TRUE,1717,cropland biome,agricultural feature,Soil,34.523,0.1071,Improved fallow farm that grows fast growing leguminous species during the short rains
12201.soil.bare.K.2.zymoMA.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,A horizon soil collected from the south side of the path about 40 m west of the entrance to the Scripps Coastal Reserve Biodiversity Trail; no woody plants within 20 m
11176.3x.072115.124.1,TRUE,11176,cropland biome,plant-associated habitat,rhizome,-96.48,41.22,rhizome 3x.072115.124.1
10431.1N6,TRUE,10431,cropland biome,farm,soil,-119.506186,36.592215,sandy loam soil  from an organic agriculture field
990.KA3F.E.04,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840733,Block_3_Fertilized_station_E_position_4 KA3F.E.04
10141.D.skin.head.T0.5,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
2378.mass.1kg.4.2,FALSE,2378,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,mass.1kg.4.2
14989.soil.face.SHSU.2016.073.2016.11.11.day8,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2016.073.2016.11.11.day8
2105.CP70.r,TRUE,2105,urban biome,park,soil,-73.97498,40.76993,CP70 soil sample from Central Park
2104.CP405,FALSE,2104,urban biome,park,soil,-73.96337,40.78128,soil
990.KA2F.A.07,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841116,Block_2_Fertilized_station_A_position_7 KA2F.A.07
11116.I16A068.1196899,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A05B082
10142.011.3.13.2013.Soil.RHip.SiteB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,011.3.13.2013.Soil.RHip.SiteB
1642.MS00599,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00599
2105.CP310.r,TRUE,2105,urban biome,park,soil,-73.97514,40.77665,CP310 soil sample from Central Park
2105.CP55.r,TRUE,2105,urban biome,park,soil,-73.97605,40.76968,CP55 soil sample from Central Park
14989.soil.face.SHSU.2017.046.2018.01.06.day19,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2017.046.2018.01.06.day19
11116.C27A63.1194105,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample L26A089
1289.KH11,TRUE,1289,cropland biome,field,soil,-97.39,31.078,soil metagenomeC9R4-E-I-6-A-MAR0-10cm_soil
11116.U497A63.1195824,FALSE,11116,cropland biome,plant-associated habitat,soil,-88.207,40.111,sample A29C118
619.UT.15.17a.1,FALSE,619,temperate grassland biome,grassland,soil,-112.4557424,40.17620563,soil core
11116.L30A085.1194785,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A04D118
721.CL3.7,FALSE,721,temperate coniferous forest biome,forest soil,soil,-80.7657804,33.6738638,"Calhoun South Carolina Pine soil, pH 4.9"
2104.CP617,FALSE,2104,urban biome,park,soil,-73.9501,40.79672,soil
14627.ERVS.001.x9,TRUE,14627,Mangrove biome,organic matter fall,Soil,-67.16851526,18.01114309,soil
1530.NC.C.U1.D3.46,FALSE,1530,permafrost biome,forest soil,soil,-146.592,65.367,Nome Creek Control  U1 Depth 20-30cm
619.HI.20.42a.3,FALSE,619,tropical broadleaf forest biome,forest soil,soil,-155.289,19.93042,soil core
2223.338R.BC0017,FALSE,2223,temperate coniferous forest biome,forest soil,soil,105.391,40.039,10_2010_burned_11
714.soil1.0.1g.T7U4,FALSE,714,ENVO:terrestrial biome,ENVO:soil,soil,-105.27,40.01,untreated_soil.soil.7
1721.S25M,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample S25M
11116.U439A63.1195611,FALSE,11116,cropland biome,plant-associated habitat,soil,-88.207,40.111,sample I07A120
1642.MS00040,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil kasalath MS00040
2105.CP586,TRUE,2105,urban biome,park,soil,-73.96727,40.78772,CP586 soil sample from Central Park
10156.3S5,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,-75.9344667,43.1694667,wetland soil sample  3S5
10082.v03.st3.r3,TRUE,10082,cropland biome,vineyard,Soil,-122.41844,38.43332,"soil sample from vineyard alley, at vineyard 03 site 3"
1526.Stillton7R2,TRUE,1526,Large river biome,dam,soil,-110.699,37.502,GlenCanyon_sc6r2
14989.soil.face.CMU.16.03.2016.3.day8,FALSE,14989,dense settlement biome,research facility,soil,-108.55,39.08,11271.soil.face.CMU.16.03.2016.3.day8
10141.BLANKplate8.2,TRUE,10141,urban biome,research facility,control blank,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
14989.soil.face.UTK.K016.06.2016.10.06.day2,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.face.UTK.K016.06.2016.10.06.day2
1721.R20M,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample R20M
714.Soil.S.cntr.T2.2,FALSE,714,ENVO:terrestrial biome,ENVO:soil,soil,-105.27,40.01,sterile_soil.soil.2
1033.776.SC.BE.T1A,TRUE,1033,polar biome,oil contaminated soil,oil contaminated soil,-58.24,-62.05,Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)
2104.CP620,FALSE,2104,urban biome,park,soil,-73.95206,40.79747,soil
14989.soil.hip.UTK.K016.10.2017.06.14.day21,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.10.2017.06.14.day21
94.PH7,FALSE,94,dense settlement biome,research facility,soil,51.816,-0.35,"Hoosfield Acid Strip, Rothamsted, UK"
864.4.OTC.addV.addG.noW.1.lane2.NoIndex,TRUE,864,montane grassland biome,steppe soil,soil,100.772,51.024,"block four-warming,vegetation, grazing, n watering 4.OTC.addV.addG.noW.1"
14937.S00IE0160,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 1397/1398 150
2104.CP698,FALSE,2104,urban biome,park,soil,-73.96016,40.79715,soil
10142.009.3.7.2013.Soil.LHip.SiteC,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,009.3.7.2013.Soil.LHip.SiteC
11116.L05A068.1194942,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L27A077
11116.I20A090.1195088,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample I16A065
1642.MS00512,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00512
14989.soil.face.CMU.16.14.2016.12.day.day9,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.face.CMU.16.14.2016.12.day.day9
2104.CP703.r,FALSE,2104,urban biome,park,soil,-73.9612,40.79513,soil
11116.A23C082.1195208,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A23C082
755.SSFB.L1.D30.12.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.203,55.905,samples of sand from slow_sand filter water purification system
10156.1B1,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,-76.8585361,42.9280667,wetland soil sample  1B1
11116.I31A090.1197183,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L13A066
619.FL.3.37a,FALSE,619,subtropical coniferous forest biome,forest soil,soil,-81.99353439,29.68998591,soil core
11116.A27B070.1197127,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample C01A62
990.KA2F.E.19,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841125,Block_2_Fertilized_station_E_position_19 KA2F.E.19
10143.004.5.7.2013.Soil.RHip.SiteB,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,004.5.7.2013.Soil.RHip.SiteB
2104.CP245.r,FALSE,2104,urban biome,park,soil,-73.96672,40.77711,soil
11116.A19A100.1196210,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I23A066
14989.soil.face.UTK.K016.04.2016.10.01.day6,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.face.UTK.K016.04.2016.10.01.day6
1889.soil1.T4U4,TRUE,1889,urban biome,soil,soil,-105.27,40.01,untreated_soil.soil.4
1521.NTP22.s.6.1.sequences,FALSE,1521,grassland biome,grassland soil,soil,-93.65,43.51,soil sample NTP22
10178.Fsoil.T.2.5,TRUE,10178,urban biome,research facility,soil,-117.26,32.84,ExtractionTest Plate1 Fsoil.T.2.5.KF1 B8
11116.L06A075.1196069,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L13A103
10141.F.ab.swab.T1.4,TRUE,10141,urban biome,animal-associated habitat,abdominal swab,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
2382.RU006.C181.RH.3.786.bulk.9.12.lane7.NoIndex.L007.sequences,TRUE,2382,cropland biome,vineyard,soil,-72.49403,41.00943,Bulk_soil
755.SSFB.L3.D30.18.10.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.905,samples of sand from slow_sand filter water purification system
10180.B3II,FALSE,10180,cropland biome,agricultural soil,soil,-48.5533,-22.6692,B3II Soil sample
11116.A25A073.1195227,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L20A080
2105.CP460.r,TRUE,2105,urban biome,park,soil,-73.96178,40.79108,CP460 soil sample from Central Park
11116.I24A078.1196601,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L27A099
1030.TVF.2010.Loc4.D10.Rep1,TRUE,1030,forest biome,forest soil,soil,-145.69,64.33,Tanana Valley Forest Fire year 2010 Mineral layer Location04 Replicate01
12201.soil.rhizosphere.J.2.microbiome20.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,rhizosphere soil
1609.mass.1kg.2.1,FALSE,1609,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,mass.1kg.2.1
11116.A06A085.1196281,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I04A084
755.SSFA.L2.D50.19.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.906,samples of sand from slow_sand filter water purification system
1521.EB102.s.6.1.sequences,FALSE,1521,shrubland biome,grassland soil,soil,36.46,-6.09,soil sample EB102
14937.S00IE0284,FALSE,14937,urban biome,farmland soil,soil,-90.68742,38.8494,soil sample A3 129/130 30
1642.MS00113,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil W1514 MS00113
2105.CP106.r,TRUE,2105,urban biome,park,soil,-73.97066,40.77077,CP106 soil sample from Central Park
1883.2009.161.Crump.Artic.LTREB.main.lane3.NoIndex,TRUE,1883,tundra biome,tundra,soil,-149.587633,68.60853333,bank soil
619.FL.3.33a.1,FALSE,619,subtropical coniferous forest biome,forest soil,soil,-81.99353439,29.68998591,soil core
10142.009.3.16.2013.Soil.RHip.SiteB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,009.3.16.2013.Soil.RHip.SiteB
10142.SoilControl.4.14.2013.Soil.ctrl.ctrlC,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,SoilControl.4.14.2013.Soil.ctrl.ctrlC
10156.1C2,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,-76.8585361,42.9280667,wetland soil sample  1C2
353.Male2.D3.20.Fecal.Rep3a,FALSE,353,urban biome,human-associated habitat,feces,-105.27,40.01,Male2 day 3 20C Fecal Rep3
1792.I22A096,TRUE,1792,cropland biome,plant-associated habitat,soil,-76.50188,42.44396,I22A096 from site Oh7B
11116.I12A069.1194819,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A10.7.26b
14989.soil.face.UTK.K016.05.2016.09.27.day2,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.face.UTK.K016.05.2016.09.27.day2
990.KA3F.A.01,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840732,Block_3_Fertilized_station_A_position_1 KA3F.A.01
1702.MCB3,TRUE,1702,montane shrubland biome,mountain,soil,128.067,42.03,soil from  760m
11116.L16A074.1197340,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A09B082
1642.MS00393,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00393
714.soil1.0.1g.T4S1,FALSE,714,ENVO:terrestrial biome,ENVO:soil,soil,-105.27,40.01,sterile_soil.soil.4
353.KP.D3.20.Soil.Rep3a,FALSE,353,montane shrubland biome,soil,soil,-105.27,40.01,KP day 3 20C Soil Rep3
10278.T6.F2.5,FALSE,10278,flooded grassland biome,fen,peat,-4.294913,53.310738,peat.timepoint6.fen.5cm.Control
14937.S00IE0054,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 515/516 150
2105.CP641.r,TRUE,2105,urban biome,park,soil,-73.95588,40.79647,CP641 soil sample from Central Park
11116.L29A081.1196681,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L28A082
928.601,FALSE,928,grassland biome,grassland soil,soil,-85.4,42.4,soil sample 601
10561.MP1.s.6.1.sequences,FALSE,10561,temperate grassland biome,grassland soil,soil,-123.5333333,49.46666667,soil MP1
1692.Soil.BE.PolygonB.Medium.Center.7.8.2012,TRUE,1692,tundra biome,dry lake,soil,-156.766,71.296,Soil BE PolygonB Medium Center 7.8.2012soil metagenome
11116.L14A065.1197032,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample C32A66
11116.A05D094.1194125,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L10A070
12201.soil.bare.K.2.powersoil.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,A horizon soil collected from the south side of the path about 40 m west of the entrance to the Scripps Coastal Reserve Biodiversity Trail; no woody plants within 20 m
2107.SP2,FALSE,2107,grassland biome,grassland soil,soil,-118.6333333,36.61666667,"Soil - Sequoia National Park, CA, USA"
10793.SD11SED.1181917,FALSE,10793,marine benthic biome,reef,seawater,2.2,41.38,Soil sample from sampling site
755.LSSF.ALPHA.D15.16.06.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with dirty sand: water purification system
11116.I21A074.1195716,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L11A097
755.LSSF.DELTA.D5.14.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with dirty sand: water purification system
10082.v12.st1.r2,TRUE,10082,cropland biome,vineyard,Soil,-122.33833,38.29203,"soil sample from vineyard alley, at vineyard 12 site 1"
11176.3x.091515.146.1,TRUE,11176,cropland biome,plant-associated habitat,rhizome,-96.48,41.22,rhizome 3x.091515.146.1
15230.SorghumSgC29,FALSE,15230,cropland biome,farm,rhizosphere,-27.39629,-27.0454,soil sample SgC29
14937.S00IE0193,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 1577/1578 60
1289.KH39,TRUE,1289,cropland biome,field,soil,-97.39,31.078,soil metagenomeC8R8-N-I-4-A-OCT-0-10cm_soil
10142.011.2.26.2013.Soil.RHip.SiteB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,011.2.26.2013.Soil.RHip.SiteB
14871.NGS21.058,FALSE,14871,alpine tundra biome,proglacial,soil,13.06082552,47.78886403,Soil
2105.CP707,TRUE,2105,urban biome,park,soil,-73.96149,40.79453,CP707 soil sample from Central Park
2105.CP417.r,TRUE,2105,urban biome,park,soil,-73.96857,40.78154,CP417 soil sample from Central Park
11116.L27A067.1194603,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample C19A65
11116.A14C070.1196750,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I05A096
